stratum_type,stratum,alternative_id,pair_count,tp,fp,fn,tn,evaluated_pairs,unknown_reference,unknown_prediction_with_known_reference,precision,recall,f1,tier2_positive_exits,tier3_eligible,tier3_eligibility_unknown,tier4_eligible,tier4_eligibility_unknown,newly_tier3_eligible_vs_frozen_current,strict_causal_eligible
overall,all,paper_char_min,24,12,12,0,0,24,0,0,0.5,1.0,0.6666666666666666,24,0,0,0,0,0,0
overall,all,char_max,24,11,3,1,9,24,0,0,0.7857142857142857,0.9166666666666666,0.8461538461538461,14,10,0,6,0,10,6
overall,all,char_source,24,11,3,1,9,24,0,0,0.7857142857142857,0.9166666666666666,0.8461538461538461,14,10,0,6,0,10,6
overall,all,char_dice,24,12,8,0,4,24,0,0,0.6,1.0,0.75,20,4,0,3,0,4,3
overall,all,token_min,24,11,8,1,4,24,0,0,0.5789473684210527,0.9166666666666666,0.7096774193548387,19,5,0,3,0,5,3
domains,calendar,paper_char_min,8,4,4,0,0,8,0,0,0.5,1.0,0.6666666666666666,8,0,0,0,0,0,0
domains,calendar,char_max,8,4,0,0,4,8,0,0,1.0,1.0,1.0,4,4,0,3,0,4,3
domains,calendar,char_source,8,4,0,0,4,8,0,0,1.0,1.0,1.0,4,4,0,3,0,4,3
domains,calendar,char_dice,8,4,1,0,3,8,0,0,0.8,1.0,0.8888888888888888,5,3,0,2,0,3,2
domains,calendar,token_min,8,4,2,0,2,8,0,0,0.6666666666666666,1.0,0.8,6,2,0,1,0,2,1
domains,email,paper_char_min,8,4,4,0,0,8,0,0,0.5,1.0,0.6666666666666666,8,0,0,0,0,0,0
domains,email,char_max,8,4,2,0,2,8,0,0,0.6666666666666666,1.0,0.8,6,2,0,2,0,2,2
domains,email,char_source,8,4,2,0,2,8,0,0,0.6666666666666666,1.0,0.8,6,2,0,2,0,2,2
domains,email,char_dice,8,4,4,0,0,8,0,0,0.5,1.0,0.6666666666666666,8,0,0,0,0,0,0
domains,email,token_min,8,4,3,0,1,8,0,0,0.5714285714285714,1.0,0.7272727272727273,7,1,0,1,0,1,1
domains,file,paper_char_min,8,4,4,0,0,8,0,0,0.5,1.0,0.6666666666666666,8,0,0,0,0,0,0
domains,file,char_max,8,3,1,1,3,8,0,0,0.75,0.75,0.75,4,4,0,1,0,4,1
domains,file,char_source,8,3,1,1,3,8,0,0,0.75,0.75,0.75,4,4,0,1,0,4,1
domains,file,char_dice,8,4,3,0,1,8,0,0,0.5714285714285714,1.0,0.7272727272727273,7,1,0,1,0,1,1
domains,file,token_min,8,3,3,1,1,8,0,0,0.5,0.75,0.6,6,2,0,1,0,2,1
families,address_copy,paper_char_min,2,2,0,0,0,2,0,0,1.0,1.0,1.0,2,0,0,0,0,0,0
families,address_copy,char_max,2,2,0,0,0,2,0,0,1.0,1.0,1.0,2,0,0,0,0,0,0
families,address_copy,char_source,2,2,0,0,0,2,0,0,1.0,1.0,1.0,2,0,0,0,0,0,0
families,address_copy,char_dice,2,2,0,0,0,2,0,0,1.0,1.0,1.0,2,0,0,0,0,0,0
families,address_copy,token_min,2,2,0,0,0,2,0,0,1.0,1.0,1.0,2,0,0,0,0,0,0
families,bounded_filename_copy,paper_char_min,1,1,0,0,0,1,0,0,1.0,1.0,1.0,1,0,0,0,0,0,0
families,bounded_filename_copy,char_max,1,1,0,0,0,1,0,0,1.0,1.0,1.0,1,0,0,0,0,0,0
families,bounded_filename_copy,char_source,1,1,0,0,0,1,0,0,1.0,1.0,1.0,1,0,0,0,0,0,0
families,bounded_filename_copy,char_dice,1,1,0,0,0,1,0,0,1.0,1.0,1.0,1,0,0,0,0,0,0
families,bounded_filename_copy,token_min,1,1,0,0,0,1,0,0,1.0,1.0,1.0,1,0,0,0,0,0,0
families,bounded_identifier_copy,paper_char_min,3,3,0,0,0,3,0,0,1.0,1.0,1.0,3,0,0,0,0,0,0
families,bounded_identifier_copy,char_max,3,3,0,0,0,3,0,0,1.0,1.0,1.0,3,0,0,0,0,0,0
families,bounded_identifier_copy,char_source,3,3,0,0,0,3,0,0,1.0,1.0,1.0,3,0,0,0,0,0,0
families,bounded_identifier_copy,char_dice,3,3,0,0,0,3,0,0,1.0,1.0,1.0,3,0,0,0,0,0,0
families,bounded_identifier_copy,token_min,3,3,0,0,0,3,0,0,1.0,1.0,1.0,3,0,0,0,0,0,0
families,bounded_phrase_copy,paper_char_min,2,2,0,0,0,2,0,0,1.0,1.0,1.0,2,0,0,0,0,0,0
families,bounded_phrase_copy,char_max,2,2,0,0,0,2,0,0,1.0,1.0,1.0,2,0,0,0,0,0,0
families,bounded_phrase_copy,char_source,2,2,0,0,0,2,0,0,1.0,1.0,1.0,2,0,0,0,0,0,0
families,bounded_phrase_copy,char_dice,2,2,0,0,0,2,0,0,1.0,1.0,1.0,2,0,0,0,0,0,0
families,bounded_phrase_copy,token_min,2,2,0,0,0,2,0,0,1.0,1.0,1.0,2,0,0,0,0,0,0
families,reordered_multi_fragment_copy,paper_char_min,3,3,0,0,0,3,0,0,1.0,1.0,1.0,3,0,0,0,0,0,0
families,reordered_multi_fragment_copy,char_max,3,2,0,1,0,3,0,0,1.0,0.6666666666666666,0.8,2,1,0,0,0,1,0
families,reordered_multi_fragment_copy,char_source,3,2,0,1,0,3,0,0,1.0,0.6666666666666666,0.8,2,1,0,0,0,1,0
families,reordered_multi_fragment_copy,char_dice,3,3,0,0,0,3,0,0,1.0,1.0,1.0,3,0,0,0,0,0,0
families,reordered_multi_fragment_copy,token_min,3,2,0,1,0,3,0,0,1.0,0.6666666666666666,0.8,2,1,0,0,0,1,0
families,short_user_only_overlap,paper_char_min,6,0,6,0,0,6,0,0,0.0,,0.0,6,0,0,0,0,0,0
families,short_user_only_overlap,char_max,6,0,0,0,6,6,0,0,,,,0,6,0,4,0,6,4
families,short_user_only_overlap,char_source,6,0,0,0,6,6,0,0,,,,0,6,0,4,0,6,4
families,short_user_only_overlap,char_dice,6,0,3,0,3,6,0,0,0.0,,0.0,3,3,0,2,0,3,2
families,short_user_only_overlap,token_min,6,0,5,0,1,6,0,0,0.0,,0.0,5,1,0,0,0,1,0
families,timestamp_copy,paper_char_min,1,1,0,0,0,1,0,0,1.0,1.0,1.0,1,0,0,0,0,0,0
families,timestamp_copy,char_max,1,1,0,0,0,1,0,0,1.0,1.0,1.0,1,0,0,0,0,0,0
families,timestamp_copy,char_source,1,1,0,0,0,1,0,0,1.0,1.0,1.0,1,0,0,0,0,0,0
families,timestamp_copy,char_dice,1,1,0,0,0,1,0,0,1.0,1.0,1.0,1,0,0,0,0,0,0
families,timestamp_copy,token_min,1,1,0,0,0,1,0,0,1.0,1.0,1.0,1,0,0,0,0,0,0
families,unrelated_user_origin,paper_char_min,3,0,3,0,0,3,0,0,0.0,,0.0,3,0,0,0,0,0,0
families,unrelated_user_origin,char_max,3,0,2,0,1,3,0,0,0.0,,0.0,2,1,0,1,0,1,1
families,unrelated_user_origin,char_source,3,0,2,0,1,3,0,0,0.0,,0.0,2,1,0,1,0,1,1
families,unrelated_user_origin,char_dice,3,0,2,0,1,3,0,0,0.0,,0.0,2,1,0,1,0,1,1
families,unrelated_user_origin,token_min,3,0,0,0,3,3,0,0,,,,0,3,0,3,0,3,3
families,user_only_same_literal,paper_char_min,3,0,3,0,0,3,0,0,0.0,,0.0,3,0,0,0,0,0,0
families,user_only_same_literal,char_max,3,0,1,0,2,3,0,0,0.0,,0.0,1,2,0,1,0,2,1
families,user_only_same_literal,char_source,3,0,1,0,2,3,0,0,0.0,,0.0,1,2,0,1,0,2,1
families,user_only_same_literal,char_dice,3,0,3,0,0,3,0,0,0.0,,0.0,3,0,0,0,0,0,0
families,user_only_same_literal,token_min,3,0,3,0,0,3,0,0,0.0,,0.0,3,0,0,0,0,0,0
