source_run,task_id,pair,order,off_ms,on_ms,delta_ms,matched,recorded_log_bytes
r01-user_task_0,user_task_0,1,on-off,39.867042,44.27525,4.408208000000002,True,177918
r01-user_task_0,user_task_0,2,off-on,39.569584,44.112125,4.542541,True,177918
r01-user_task_0,user_task_0,3,on-off,39.582958,43.857,4.2740420000000015,True,177918
r01-user_task_0,user_task_0,4,off-on,39.4465,43.633625,4.187125000000002,True,177918
r01-user_task_0,user_task_0,5,on-off,39.342583,44.682083,5.339500000000001,True,177918
r01-user_task_7,user_task_7,1,on-off,59.156959,66.127791,6.9708320000000015,True,413677
r01-user_task_7,user_task_7,2,off-on,58.754541,70.275291,11.520749999999992,True,413677
r01-user_task_7,user_task_7,3,on-off,63.105583,75.587041,12.481457999999996,True,413677
r01-user_task_7,user_task_7,4,off-on,96.707709,65.573417,-31.134291999999988,True,413677
r01-user_task_7,user_task_7,5,on-off,59.53825,66.247042,6.708791999999995,True,413677
