zotero_item_id,zotero_key,zotero_item_type,is_likely_paper,zotero_topic_collection,zotero_collection_paths,zotero_tier_collection,title,short_title,authors,first_author,year,date,doi,url,venue,publication_title,proceedings_title,conference_name,repository,archive_id,publisher,library_catalog,has_abstract,abstract_snippet,extra,date_added,date_modified
3,U3S2Z98J,preprint,yes,08 Surveys and SoK Papers,MSc Thesis - Tool-Output Injection / 08 Surveys and SoK Papers || MSc Thesis - Tool-Output Injection / 08 Surveys and SoK Papers / T3,T3,The Landscape of Prompt Injection Threats in LLM Agents: From Taxonomy to Analysis,The Landscape of Prompt Injection Threats in LLM Agents,Peiran Wang; Xinfeng Li; Chong Xiang; Jinghuai Zhang; Ying Li; Lixia Zhang; Xiaofeng Wang; Yuan Tian,Peiran Wang,2026,2026-02-11 2026-02-11,10.48550/arXiv.2602.10453,http://arxiv.org/abs/2602.10453,arXiv,,,,arXiv,arXiv:2602.10453,,arXiv.org,yes,"The evolution of Large Language Models (LLMs) has resulted in a paradigm shift towards autonomous agents, necessitating robust security against Prompt Injection (PI) vulnerabilities where untrusted inputs hijack agent behaviors. This SoK presents a comprehensive overview of the PI landscape, covering attacks, defenses, and their evaluation practices. Through a systematic literature review and quantitative analysis, we establish taxonomies that categorize PI attacks by payload generation strategi",arXiv:2602.10453 [cs],2026-04-30 11:33:09,2026-05-13 04:08:15
16,Y9FIC86A,conferencePaper,yes,01 Foundations - LLM Agents and Tool Use,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use || MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T1 || MSc Thesis - Tool-Output Injection / 10 To Verify,T1,Toolformer: Language Models Can Teach Themselves to Use Tools,Toolformer,Timo Schick; Jane Dwivedi-Yu; Roberto Dessi; Roberta Raileanu; Maria Lomeli; Eric Hambro; Luke Zettlemoyer; Nicola Cancedda; Thomas Scialom,Timo Schick,2023,2023-11-02 2023/11/02,,https://neurips.cc/virtual/2023/poster/71288,Thirty-seventh Conference on Neural Information Processing Systems,,,Thirty-seventh Conference on Neural Information Processing Systems,,,,openreview.net,yes,"Language models (LMs) exhibit remarkable abilities to solve new tasks from just a few examples or textual instructions, especially at scale. They also, paradoxically, struggle with basic functionality, such as arithmetic or factual lookup, where much simpler and smaller specialized models excel. In this paper, we show that LMs can teach themselves to *use external tools* via simple APIs and achieve the best of both worlds. We introduce *Toolformer*, a model trained to decide which APIs to call, ",,2026-05-12 03:37:06,2026-05-26 04:35:16
18,UBYMAY8X,conferencePaper,yes,03 Agent Security Benchmarks,MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks || MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks / T2 || MSc Thesis - Tool-Output Injection / 10 To Verify,T2,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,InjecAgent,Qiusi Zhan; Zhixiang Liang; Zifan Ying; Daniel Kang; Lun-Wei Ku; Andre Martins; Vivek Srikumar,Qiusi Zhan,2024,2024-08-00 2024-08,10.18653/v1/2024.findings-acl.624,https://aclanthology.org/2024.findings-acl.624/,Findings of the Association for Computational Linguistics: ACL 2024,,Findings of the Association for Computational Linguistics: ACL 2024,Findings 2024,,,Association for Computational Linguistics,ACLWeb,yes,"Recent work has embodied LLMs as agents, allowing them to access tools, perform actions, and interact with external content (e.g., emails or websites). However, external content introduces the risk of indirect prompt injection (IPI) attacks, where malicious instructions are embedded within the content processed by LLMs, aiming to manipulate these agents into executing detrimental actions against users. Given the potentially severe consequences of such attacks, establishing benchmarks to assess a",,2026-05-11 03:07:07,2026-07-01 08:53:25
20,6VDYULVW,conferencePaper,yes,03 Agent Security Benchmarks,MSc Thesis - Tool-Output Injection || MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks || MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks / T1,T1,AgentDojo: a dynamic environment to evaluate prompt injection attacks and defenses for LLM agents,AgentDojo,Edoardo Debenedetti; Jie Zhang; Mislav Balunovic; Luca Beurer-Kellner; Marc Fischer; Florian Tramèr,Edoardo Debenedetti,2024,"2024-12-10 December 10, 2024",,,Proceedings of the 38th International Conference on Neural Information Processing Systems,,Proceedings of the 38th International Conference on Neural Information Processing Systems,,,,Curran Associates Inc.,ACM Digital Library,yes,"AI agents aim to solve complex tasks by combining text-based reasoning with external tool calls. Unfortunately, AI agents are vulnerable to prompt injection attacks where data returned by external tools hijacks the agent to execute malicious tasks. To measure the adversarial robustness of AI agents, we introduce AgentDojo, an evaluation framework for agents that execute tools over untrusted data. To capture the evolving nature of attacks and defenses, AgentDojo is not a static test suite, but ra",,2026-05-11 03:26:40,2026-07-01 08:53:58
21,DTTZMEMY,journalArticle,yes,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,T3,Clawed and Dangerous: Can We Trust Open Agentic Systems?,,Shiping Chen; Qin Wang; Guangsheng Yu; Xu Wang; Liming Zhu,Shiping Chen,2026,2026-00-00 2026,10.48550/arXiv.2603.26221,https://arxiv.org/abs/2603.26221,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:47,2026-05-14 03:49:47
22,YNQJ8ZEK,journalArticle,yes,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,T3,Deep Research Brings Deeper Harm,,Shuo Chen; Zonggen Li; Zhen Han; Bailan He; Tong Liu; Haokun Chen; Georg Groh; Philip Torr; Volker Tresp; Jindong Gu,Shuo Chen,2025,2025-00-00 2025,10.48550/arXiv.2510.11851,https://arxiv.org/abs/2510.11851,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
27,SBEBWL9I,journalArticle,yes,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,T3,MCPGuard: Automatically Detecting Vulnerabilities in MCP Servers,,Bin Wang; Zexin Liu; Hao Yu; others,Bin Wang,2025,2025-00-00 2025,10.48550/arXiv.2510.23673,https://arxiv.org/abs/2510.23673,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
28,JSUEKJ7I,journalArticle,yes,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,T3,MCPSecBench: A Systematic Security Benchmark and Playground for Testing Model Context Protocols,,Yixuan Yang; Daoyuan Wu; Yufan Chen,Yixuan Yang,2025,2025-00-00 2025,10.48550/arXiv.2508.13220,https://arxiv.org/abs/2508.13220,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
30,DTQF7NL9,journalArticle,yes,02 Prompt Injection - Core,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core / T1 || MSc Thesis - Tool-Output Injection / 10 To Verify,T1,ObliInjection: Order-Oblivious Prompt Injection Attack to LLM Agents with Multi-source Data,,Reachal Wang; Yuqi Jia; Neil Zhenqiang Gong,Reachal Wang,2025,2025-00-00 2025,10.48550/arXiv.2512.09321,https://www.ndss-symposium.org/ndss-paper/obliinjection-order-oblivious-prompt-injection-attack-to-llm-agents-with-multi-source-data/,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
32,IQPU5RCM,journalArticle,yes,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,T3,CausalArmor: Efficient Indirect Prompt Injection Guardrails via Causal Attribution,,Minbeom Kim; Mihir Parmar; Phillip Wallis; others,Minbeom Kim,2026,2026-00-00 2026,10.48550/arXiv.2602.07918,https://arxiv.org/abs/2602.07918,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
